timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1646117054413,704,Create Basket,201,Created,Thread-Gruppe 1-1,text,true,,259,203,1,1,http://localhost:8080/basket,701,0,1
1646117055140,125,Create Basket Items,200,OK,Thread-Gruppe 1-1,text,true,,1229,258,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/data/item/7c9797f0-8936-4432-97c3-1ab8a4abf2ac,115,0,0
1646117055272,62,Create Basket Items,200,OK,Thread-Gruppe 1-1,text,true,,2183,258,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/data/item/751a14b3-4308-49de-8b2e-ffe91472591f,59,0,0
1646117055343,61,Create Basket Items,200,OK,Thread-Gruppe 1-1,text,true,,3156,258,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/data/item/77779039-6c71-4f5c-874f-853b895b2084,56,0,0
1646117055405,244,Set Checkout Data,200,OK,Thread-Gruppe 1-1,text,true,,1301,992,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/checkout,242,0,0
1646117055650,39,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4833,194,1,1,http://localhost:8080/aggregate/0c28e612-32dd-4325-9728-608f702d1e96,23,0,0
1646117055690,27,View Basket,200,OK,Thread-Gruppe 1-1,text,true,,4833,194,1,1,http://localhost:8080/aggregate/0c28e612-32dd-4325-9728-608f702d1e96,22,0,0
1646117055718,25,Add Payment,200,OK,Thread-Gruppe 1-1,text,true,,956,338,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/payment,24,0,0
1646117055744,63,Initialize Payment,200,OK,Thread-Gruppe 1-1,text,true,,3984,230,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/payment/initialize,59,0,0
1646117055808,61,Execute Payment,200,OK,Thread-Gruppe 1-1,text,true,,4039,227,1,1,http://localhost:8080/basket/0c28e612-32dd-4325-9728-608f702d1e96/payment/execute,57,0,0
1646117054397,1473,Transaction Controller,200,"Number of samples in transaction : 12, number of failing samples : 0",Thread-Gruppe 1-1,,true,,26773,3152,1,1,null,1358,0,1
